"","mse","specificity","sensitivity","model","sample_size"
"output_model1_rep1000_n500.RData.191",0,1,1,1,500
"output_model1_rep1000_n500.RData.192",0,1,1,1,500
"output_model1_rep1000_n500.RData.193",0,1,1,1,500
"output_model1_rep1000_n500.RData.194",0,1,1,1,500
"output_model1_rep1000_n500.RData.195",0,1,1,1,500
"output_model1_rep1000_n500.RData.196",0,1,1,1,500
"output_model1_rep1000_n500.RData.197",0.0081655288196004,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.198",0.0001849925992906,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.199",0,1,1,1,500
"output_model1_rep1000_n500.RData.200",0,1,1,1,500
"output_model1_rep1000_n500.RData.201",0.000522675573229685,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.202",0,1,1,1,500
"output_model1_rep1000_n500.RData.203",0.000422449290491051,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.204",0.000464584227672191,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.205",0,1,1,1,500
"output_model1_rep1000_n500.RData.206",0,1,1,1,500
"output_model1_rep1000_n500.RData.207",0,1,1,1,500
"output_model1_rep1000_n500.RData.208",0,1,1,1,500
"output_model1_rep1000_n500.RData.209",1.61344042426741e-05,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.210",1.12907305745871e-34,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.211",0,1,1,1,500
"output_model1_rep1000_n500.RData.212",0,1,1,1,500
"output_model1_rep1000_n500.RData.213",0.00805716927591408,0.894736842105263,1,1,500
"output_model1_rep1000_n500.RData.214",0,1,1,1,500
"output_model1_rep1000_n500.RData.215",0,1,1,1,500
"output_model1_rep1000_n500.RData.216",0,1,1,1,500
"output_model1_rep1000_n500.RData.217",0.00142933450699168,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.218",0,1,1,1,500
"output_model1_rep1000_n500.RData.219",0,1,1,1,500
"output_model1_rep1000_n500.RData.220",0,1,1,1,500
"output_model1_rep1000_n500.RData.221",0,1,1,1,500
"output_model1_rep1000_n500.RData.222",0.000321751864636697,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.223",0,1,1,1,500
"output_model1_rep1000_n500.RData.224",0,1,1,1,500
"output_model1_rep1000_n500.RData.225",0,1,1,1,500
"output_model1_rep1000_n500.RData.226",0,1,1,1,500
"output_model1_rep1000_n500.RData.227",0,1,1,1,500
"output_model1_rep1000_n500.RData.228",0,1,1,1,500
"output_model1_rep1000_n500.RData.229",0.000228964542847981,0.894736842105263,1,1,500
"output_model1_rep1000_n500.RData.230",0,1,1,1,500
"output_model1_rep1000_n500.RData.231",0,1,1,1,500
"output_model1_rep1000_n500.RData.232",0,1,1,1,500
"output_model1_rep1000_n500.RData.233",0,1,1,1,500
"output_model1_rep1000_n500.RData.234",0,1,1,1,500
"output_model1_rep1000_n500.RData.235",0,1,1,1,500
"output_model1_rep1000_n500.RData.236",0,1,1,1,500
"output_model1_rep1000_n500.RData.237",0.00229238446095784,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.238",0,1,1,1,500
"output_model1_rep1000_n500.RData.239",0,1,1,1,500
"output_model1_rep1000_n500.RData.240",0,1,1,1,500
"output_model1_rep1000_n500.RData.241",0,1,1,1,500
"output_model1_rep1000_n500.RData.242",0,1,1,1,500
"output_model1_rep1000_n500.RData.243",1.73613947985803e-05,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.244",0.000351401098147816,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.245",0,1,1,1,500
"output_model1_rep1000_n500.RData.246",0,1,1,1,500
"output_model1_rep1000_n500.RData.247",5.29220409609112e-07,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.248",0.0352159300043243,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.249",0.00836440912289486,0.894736842105263,1,1,500
"output_model1_rep1000_n500.RData.250",0,1,1,1,500
"output_model1_rep1000_n500.RData.251",0,1,1,1,500
"output_model1_rep1000_n500.RData.252",0,1,1,1,500
"output_model1_rep1000_n500.RData.253",0,1,1,1,500
"output_model1_rep1000_n500.RData.254",0,1,1,1,500
"output_model1_rep1000_n500.RData.255",0.00651641915190108,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.256",0,1,1,1,500
"output_model1_rep1000_n500.RData.257",5.4694684535364e-34,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.258",0,1,1,1,500
"output_model1_rep1000_n500.RData.259",0,1,1,1,500
"output_model1_rep1000_n500.RData.260",0,1,1,1,500
"output_model1_rep1000_n500.RData.261",0,1,1,1,500
"output_model1_rep1000_n500.RData.262",0,1,1,1,500
"output_model1_rep1000_n500.RData.263",0,1,1,1,500
"output_model1_rep1000_n500.RData.264",0,1,1,1,500
"output_model1_rep1000_n500.RData.265",0,1,1,1,500
"output_model1_rep1000_n500.RData.266",0,1,1,1,500
"output_model1_rep1000_n500.RData.267",0,1,1,1,500
"output_model1_rep1000_n500.RData.268",0,1,1,1,500
"output_model1_rep1000_n500.RData.269",0,1,1,1,500
"output_model1_rep1000_n500.RData.270",0,1,1,1,500
"output_model1_rep1000_n500.RData.271",0,1,1,1,500
"output_model1_rep1000_n500.RData.272",1.00263827468677e-08,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.273",0,1,1,1,500
"output_model1_rep1000_n500.RData.274",4.67676600303427e-33,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.275",1.8115008316722e-33,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.276",0,1,1,1,500
"output_model1_rep1000_n500.RData.277",2.92600285834934e-05,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.278",0,1,1,1,500
"output_model1_rep1000_n500.RData.279",0,1,1,1,500
"output_model1_rep1000_n500.RData.280",0.000427527887512809,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.281",0,1,1,1,500
"output_model1_rep1000_n500.RData.282",0,1,1,1,500
"output_model1_rep1000_n500.RData.283",0,1,1,1,500
"output_model1_rep1000_n500.RData.284",0,1,1,1,500
"output_model1_rep1000_n500.RData.285",1.48599842935934e-34,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.286",0.00363960751614477,0.842105263157895,1,1,500
"output_model1_rep1000_n500.RData.287",0,1,1,1,500
"output_model1_rep1000_n500.RData.288",0,1,1,1,500
"output_model1_rep1000_n500.RData.289",0,1,1,1,500
"output_model1_rep1000_n500.RData.290",0.00268936333371128,0.894736842105263,1,1,500
"output_model1_rep1000_n500.RData.291",0,1,1,1,500
"output_model1_rep1000_n500.RData.292",0,1,1,1,500
"output_model1_rep1000_n500.RData.293",0,1,1,1,500
"output_model1_rep1000_n500.RData.294",7.21123162198119e-34,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.295",0,1,1,1,500
"output_model1_rep1000_n500.RData.296",0,1,1,1,500
"output_model1_rep1000_n500.RData.297",0,1,1,1,500
"output_model1_rep1000_n500.RData.298",2.91532841471964e-05,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.299",0.000146315628538115,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.300",0,1,1,1,500
"output_model1_rep1000_n500.RData.301",0,1,1,1,500
"output_model1_rep1000_n500.RData.302",0,1,1,1,500
"output_model1_rep1000_n500.RData.303",0,1,1,1,500
"output_model1_rep1000_n500.RData.304",0.000516003979682684,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.305",0,1,1,1,500
"output_model1_rep1000_n500.RData.306",0,1,1,1,500
"output_model1_rep1000_n500.RData.307",0,1,1,1,500
"output_model1_rep1000_n500.RData.308",0.00225836674872449,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.309",0,1,1,1,500
"output_model1_rep1000_n500.RData.310",0,1,1,1,500
"output_model1_rep1000_n500.RData.311",0,1,1,1,500
"output_model1_rep1000_n500.RData.312",0,1,1,1,500
"output_model1_rep1000_n500.RData.313",0.000330821963217849,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.314",0,1,1,1,500
"output_model1_rep1000_n500.RData.315",0,1,1,1,500
"output_model1_rep1000_n500.RData.316",6.30418083367423e-05,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.317",0,1,1,1,500
"output_model1_rep1000_n500.RData.318",0,1,1,1,500
"output_model1_rep1000_n500.RData.319",0,1,1,1,500
"output_model1_rep1000_n500.RData.320",0,1,1,1,500
"output_model1_rep1000_n500.RData.321",0.00110220866105217,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.322",0,1,1,1,500
"output_model1_rep1000_n500.RData.323",0,1,1,1,500
"output_model1_rep1000_n500.RData.324",0,1,1,1,500
"output_model1_rep1000_n500.RData.325",4.62422534902411e-06,0.973684210526316,1,1,500
